Player,Team,Actual Goals,FotMob Rating,Expected Goals (xG),Shot Accuracy (%),Matches,Actual Assists,Saves per 90(GK),Total Saves(GK),Clean Sheets(GK),Goals Conceded per 90(GK),Goals Conceded,Chances Created,Chances Created per 90,Big Chances Created,Big Chances Missed,Blocks per 90,Total Blocks,Interceptions per 90,Total Interceptions,Clearances per 90,Total Clearances
Matthias Bader,SV Darmstadt,1,6.87,0.7,5.9,24,2,0,0,0,0,0,18,0.9,3,0.2,0.2,4,1.2,25,0.8,17
Michael Gregoritsch,SC Freiburg,7,6.87,9.4,41.9,32,4,0,0,0,0,0,15,0.8,1,15,0.2,4,0.5,9,1.4,26
Jonathan Burkardt,1. FSV Mainz 05,8,6.87,6.1,41.5,21,2,0,0,0,0,0,15,0.9,4,8,0.2,3,0.2,3,0.1,2
Nicolas Höfler,SC Freiburg,1,6.87,2.4,6.3,28,1,0,0,0,0,0,9,0.3,0.5,0.2,0.6,16,1.2,31,1.6,41
Leonardo Bittencourt,SV Werder Bremen,1,6.86,2.3,16.1,29,2,0,0,0,0,0,26,1.5,5,3,0.1,1,0.7,13,0.3,6
Niels Nkounkou,Eintracht Frankfurt,3,6.86,1.3,31.8,29,2,0,0,0,0,0,16,1.1,4,0.2,0.1,2,1.1,16,1.7,24
Anthony Jung,SV Werder Bremen,1,6.86,0.7,20,31,0,0,0,0,0,0,6,0.2,0.5,0.2,0.6,17,0.8,24,3.3,96
Fares Chaibi,Eintracht Frankfurt,2,6.85,3.1,35,28,4,0,0,0,0,0,51,2.4,15,3,0.1,1,0.2,5,0.8,17
Tim Skarke,SV Darmstadt,8,6.85,3.6,29,30,0,0,0,0,0,0,31,1.2,2,3,0.1,2,0.2,6,0.7,19
Ozan Kabak,TSG Hoffenheim,4,6.85,2.2,36.8,28,1,0,0,0,0,0,8,0.3,1,2,0.8,21,1.8,46,4.1,105
Felix Uduokhai,FC Augsburg,2,6.85,1.6,23.1,33,0,0,0,0,0,0,9,0.3,0.5,0.2,1.1,35,1.4,46,5.4,174
Felix Nmecha,Borussia Dortmund,1,6.85,1.7,13,20,2,0,0,0,0,0,14,1.2,0.5,2,0.4,5,1,11,1.7,19
Niklas Süle,Borussia Dortmund,1,6.85,0.4,14.3,23,0,0,0,0,0,0,5,0.3,0.5,0.2,0.8,14,1.5,25,3.4,57
Gregor Kobel,Borussia Dortmund,0,6.85,2.4,0.5,27,0,3.2,85,7,1.3,34,7,1.3,0.5,0.2,0.1,0,0.84,0,1,25
Kevin Kampl,RB Leipzig,1,6.84,0.2,16.7,26,0,0,0,0,0,0,15,1,2,0.2,0.5,7,0.7,11,0.7,11
Benjamin Sesko,RB Leipzig,14,6.84,7.7,53.2,31,2,0,0,0,0,0,12,0.7,1,8,0.1,2,0.2,3,1.6,27
Eric Martel,FC Köln,1,6.84,2.2,33.3,30,1,0,0,0,0,0,12,0.4,1,2,0.7,19,1.6,43,2.9,80
Maximilian Eggestein,SC Freiburg,1,6.83,2.4,20.5,33,1,0,0,0,0,0,25,0.8,4,0.2,0.6,18,0.9,28,1.1,36
Phillip Tietz,FC Augsburg,8,6.82,8.2,36.5,34,4,0,0,0,0,0,29,1.1,3,12,0.1,3,0.2,6,1.3,35
Edimilson Fernandes,1. FSV Mainz 05,0,6.82,0.5,0.5,21,2,0,0,0,0,0,18,1.3,1,0.2,0.4,6,1.5,22,3.6,52
Josha Vagnoman,VfB Stuttgart,2,6.82,1.3,41.2,18,2,0,0,0,0,0,7,0.5,2,3,0.4,5,0.2,2,1,13
Elvis Rexhbecaj,FC Augsburg,2,6.81,1.7,13.8,25,0,0,0,0,0,0,13,0.6,0.5,0.2,0.3,7,0.9,20,0.9,20
Omar Traoré,1. FC Heidenheim 1846,0,6.8,0.3,9.1,31,2,0,0,0,0,0,19,0.7,2,0.2,0.3,7,1.5,40,1.6,45
Aster Vranckx,VfL Wolfsburg,0,6.8,0.1,50,24,0,0,0,0,0,0,5,0.4,0.5,0.2,0.5,6,1.1,14,2.3,29
Niklas Dorsch,FC Augsburg,0,6.8,0.7,0.5,21,0,0,0,0,0,0,3,0.2,0.5,0.2,0.6,9,1,16,1.8,27
Ruben Vargas,FC Augsburg,4,6.79,3.9,34.7,31,4,0,0,0,0,0,26,1.2,4,4,0.2,4,0.3,7,0.7,16
Ihlas Bebou,TSG Hoffenheim,7,6.79,4.9,36.8,32,5,0,0,0,0,0,15,0.8,5,4,0.1,2,0.8,14,0.7,12
Ansgar Knauff,Eintracht Frankfurt,7,6.79,5.7,35.1,31,2,0,0,0,0,0,18,0.8,4,6,0.1,3,0.9,20,0.6,13
Philipp Max,Eintracht Frankfurt,1,6.79,0.2,25,23,2,0,0,0,0,0,20,1.3,5,0.2,0.1,1,0.5,7,1,15
Kevin Paredes,VfL Wolfsburg,3,6.79,3,42.1,28,0,0,0,0,0,0,17,1.1,2,4,0.1,2,1.4,23,1.5,24
Roland Sallai,SC Freiburg,3,6.78,8,33.9,27,0,0,0,0,0,0,29,1.4,7,8,0.1,1,0.3,6,1,21
Jamie Bynoe-Gittens,Borussia Dortmund,1,6.78,2.2,25.6,25,4,0,0,0,0,0,18,1.5,4,2,0.2,2,0.3,4,0.5,6
Salih Ã–zcan,Borussia Dortmund,0,6.78,0.2,40,23,0,0,0,0,0,0,11,0.8,1,0.2,0.2,3,1.3,17,1.2,16
Christopher Trimmel,1. FC Union Berlin,0,6.77,0.6,66.7,26,2,0,0,0,0,0,39,2.1,3,0.2,0.2,3,0.7,13,2.8,52
Luca Netz,Borussia Mönchengladbach,0,6.77,1,29.4,30,4,0,0,0,0,0,38,1.5,6,1,0.4,10,0.9,22,2.6,64
Matthias Ginter,SC Freiburg,0,6.77,1.4,57.1,23,2,0,0,0,0,0,5,0.2,2,2,1.2,26,0.8,16,4.3,92
András Schäfer,1. FC Union Berlin,1,6.77,1.8,23.8,20,2,0,0,0,0,0,18,1.3,3,2,0.3,4,1.5,20,1.6,22
Tom Krauss,1. FSV Mainz 05,1,6.77,0.8,10.5,29,2,0,0,0,0,0,7,0.5,1,0.2,0.3,4,1.1,17,1.8,27
Ko Itakura,Borussia Mönchengladbach,3,6.77,1.3,33.3,20,0,0,0,0,0,0,5,0.3,0.5,3,1,18,1.2,22,3.4,60
Mathys Tel,Bayern München,7,6.76,3.7,41.9,30,5,0,0,0,0,0,12,1,6,2,0.1,0,0.5,6,0.5,6
Tobias Kempe,SV Darmstadt,3,6.76,3.6,19,24,2,0,0,0,0,0,28,1.9,3,1,0.3,4,0.6,9,0.7,11
Yannick Gerhardt,VfL Wolfsburg,2,6.76,1.9,47.4,25,1,0,0,0,0,0,14,0.8,1,3,0.1,2,0.4,7,1.8,32
Robin Zentner,1. FSV Mainz 05,0,6.76,2.4,0.5,30,0,2.7,82,7,1.6,48,1,1.3,0.5,0.2,0.1,0,0.84,1,1.2,35
Silvan Widmer,1. FSV Mainz 05,1,6.75,1.4,21.4,20,3,0,0,0,0,0,16,1.2,8,4,0.4,5,1.2,16,2.2,30
Marius Wolf,Borussia Dortmund,0,6.75,0.8,11.1,22,1,0,0,0,0,0,11,0.9,3,2,0.2,2,0.6,8,1.2,16
Merlin Röhl,SC Freiburg,2,6.75,2,33.3,24,3,0,0,0,0,0,19,1.2,5,5,0.2,3,0.5,9,1.3,22
Kevin Behrens,VfL Wolfsburg,5,6.75,7.6,36.5,31,1,0,0,0,0,0,24,1.1,3,11,0.1,2,0.4,9,1.1,24
Hugo Larsson,Eintracht Frankfurt,2,6.75,1.3,40,29,1,0,0,0,0,0,10,0.5,3,2,0.3,7,1.4,29,1.4,29
Fabian Holland,SV Darmstadt,0,6.75,0.6,27.3,23,2,0,0,0,0,0,17,0.8,2,2,0.6,12,1.2,24,1.2,25
Philipp Hofmann,VfL Bochum,4,6.75,4.8,38.5,29,2,0,0,0,0,0,19,1.1,5,8,0.1,2,0.2,4,1,17
Olivier Deman,SV Werder Bremen,2,6.75,1.1,41.2,29,1,0,0,0,0,0,13,0.9,2,1,0.5,8,0.9,14,2.7,41
Ridle Baku,VfL Wolfsburg,1,6.74,1.8,33.3,33,0,0,0,0,0,0,30,1.3,10,2,0.1,1,0.9,21,1.6,36
Jamie Leweling,VfB Stuttgart,4,6.74,6.2,52.3,34,4,0,0,0,0,0,23,1.4,5,9,0.1,1,0.3,5,0.7,12
Diogo Leite,1. FC Union Berlin,0,6.74,0.8,30.8,32,0,0,0,0,0,0,6,0.2,1,1,0.7,22,1.6,47,4.8,143
Janik Haberer,1. FC Union Berlin,1,6.73,0.9,26.7,21,1,0,0,0,0,0,10,0.7,1,0.2,0.3,4,0.9,12,1.3,18
Mads Valentin Pedersen,FC Augsburg,1,6.72,0.8,7.7,27,1,0,0,0,0,0,12,0.6,2,0.2,0.2,3,1,19,2.2,43
Silas Katompa Mvumpa,VfB Stuttgart,5,6.72,5.7,37.5,27,2,0,0,0,0,0,15,1.5,6,7,0.1,0,0.84,0,0.3,3
Lukas Klostermann,RB Leipzig,1,6.72,0.7,33.3,25,0,0,0,0,0,0,5,0.3,0.5,0.2,0.8,12,0.8,13,3.8,60
